"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"East flowing rivers between Mahanadi and Pennar Basin","Vamsadhara and other","2022-11-03","2022","11","0.5891442651","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Vamsadhara and other","2022-11-04","2022","11","1.3249729439","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Vamsadhara and other","2022-11-05","2022","11","6.46542E-5","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Vamsadhara and other","2022-11-06","2022","11","NA","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Vamsadhara and other","2022-11-07","2022","11","NA","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Vamsadhara and other","2022-11-08","2022","11","NA","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Vamsadhara and other","2022-11-09","2022","11","0.0011432029","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Vamsadhara and other","2022-11-10","2022","11","0.0052485871","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Vamsadhara and other","2022-11-11","2022","11","0.0440546907","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Vamsadhara and other","2022-11-12","2022","11","NA","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","Vamsadhara and other","2022-11-13","2022","11","1.9981E-6","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Palar and other","2022-11-01","2022","11","14.0489267945","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Palar and other","2022-11-02","2022","11","35.3323653245","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Palar and other","2022-11-03","2022","11","9.890811534","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Palar and other","2022-11-04","2022","11","7.4072455295","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Palar and other","2022-11-05","2022","11","3.2897200224","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Palar and other","2022-11-06","2022","11","2.7995993835","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Palar and other","2022-11-07","2022","11","0.0934316425","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Palar and other","2022-11-08","2022","11","0.3063986941","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Palar and other","2022-11-09","2022","11","0.5604002599","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Palar and other","2022-11-10","2022","11","0.7665863209","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Palar and other","2022-11-11","2022","11","11.8511107976","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Palar and other","2022-11-12","2022","11","22.8493754049","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Palar and other","2022-11-13","2022","11","30.3857119255","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Pamba and others","2022-11-01","2022","11","1.1795957382","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Pamba and others","2022-11-02","2022","11","1.9707480359","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Pamba and others","2022-11-03","2022","11","20.8365307834","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Pamba and others","2022-11-04","2022","11","6.4247436083","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Pamba and others","2022-11-05","2022","11","6.6450802108","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Pamba and others","2022-11-06","2022","11","2.5401224827","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Pamba and others","2022-11-07","2022","11","9.0857917419","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Pamba and others","2022-11-08","2022","11","1.3803784448","NRSC VIC MODEL"
"East flowing rivers between Pennar and Kanyakumari Basin","Pamba and others","2022-11-09","2022","11","3.6208960612","NRSC VIC MODEL"
